0x27B5,"GATT Unit","concentration (count per cubic metre)",
0x27B6,"GATT Unit","irradiance (watt per square metre)",
0x27B7,"GATT Unit","milliliter (per kilogram per minute)",
0x27B8,"GATT Unit","mass (pound)",
0x27B9,"GATT Unit","metabolic equivalent",
0x27BA,"GATT Unit","step (per minute)",
0x27BC,"GATT Unit","stroke (per minute)",
0x27BD,"GATT Unit","pace (kilometre per minute)",
0x27BE,"GATT Unit","luminous efficacy (lumen per watt)",
0x27BF,"GATT Unit","luminous energy (lumen hour)",
0x27C0,"GATT Unit","luminous exposure (lux hour)",
0x27C1,"GATT Unit","mass flow (gram per second)",
0x27C2,"GATT Unit","volume flow (litre per second)",
0x27C3,"GATT Unit","sound pressure (decibel)",
0x27C4,"GATT Unit","parts per million",
0x27C5,"GATT Unit","parts per billion",
0x2800,"GATT Declarations","Primary Service",
0x2801,"GATT Declarations","Secondary Service",
0x2802,"GATT Declarations","Include",
0x2803,"GATT Declarations","Characteristic",
0x2900,"GATT Descriptor","Characteristic Extended Properties",
0x2901,"GATT Descriptor","Characteristic User Description",
0x2902,"GATT Descriptor","Client Characteristic Configuration",
0x2903,"GATT Descriptor","Server Characteristic Configuration",
0x2904,"GATT Descriptor","Characteristic Presentation Format",
0x2905,"GATT Descriptor","Characteristic Aggregate Format",
0x2906,"GATT Descriptor","Valid Range",
0x2907,"GATT Descriptor","External Report Reference",
0x2908,"GATT Descriptor","Report Reference",
0x2909,"GATT Descriptor","Number of Digitals",
0x290A,"GATT Descriptor","Value Trigger Setting",
0x290B,"GATT Descriptor","Environmental Sensing Configuration",
0x290C,"GATT Descriptor","Environmental Sensing Measurement",
0x290D,"GATT Descriptor","Environmental Sensing Trigger Setting",
0x290E,"GATT Descriptor","Time Trigger Setting",
0x290F,"GATT Descriptor","Complete BR-EDR Transport Block Data",
0x2A00,"GATT Characteristic and Object Type","Device Name",
0x2A01,"GATT Characteristic and Object Type","Appearance",
0x2A02,"GATT Characteristic and Object Type","Peripheral Privacy Flag",
0x2A03,"GATT Characteristic and Object Type","Reconnection Address",
0x2A04,"GATT Characteristic and Object Type","Peripheral Preferred Connection Parameters",
0x2A05,"GATT Characteristic and Object Type","Service Changed",
0x2A06,"GATT Characteristic and Object Type","Alert Level",
0x2A07,"GATT Characteristic and Object Type","Tx Power Level",
0x2A08,"GATT Characteristic and Object Type","Date Time",
0x2A09,"GATT Characteristic and Object Type","Day of Week",
